page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year
32641,Harmon Furmintz ,\/Harmon_Furmintz_(Earth-616),Public Identity,Good,Blue Eyes,White Hair,Male,NA,Deceased Characters,7,Aug-90,1990
629670,Jupiter (New Warriors) ,\/Jupiter_(New_Warriors)_(Earth-616),Public Identity,Good,Blue Eyes,Red Hair,Female,NA,Living Characters,7,Sep-90,1990
2465,Kristina Anderson ,\/Kristina_Anderson_(Earth-616),Secret Identity,Bad,Pink Eyes,Pink Hair,Female,NA,Living Characters,7,Feb-90,1990
729146,L.D. 50 ,\/L.D._50_(Earth-616),Secret Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Nov-90,1990
4519,Maker ,\/Maker_(Earth-616),Secret Identity,Neutral,NA,NA,Female,NA,Living Characters,7,Jul-90,1990
79572,Samuel Higgins ,\/Samuel_Higgins_(Earth-616),Public Identity,Bad,NA,Grey Hair,Male,NA,Living Characters,7,Aug-90,1990
32517,Yuji Watanabe ,\/Yuji_Watanabe_(Earth-616),No Dual Identity,Good,NA,Grey Hair,Male,NA,Living Characters,7,Dec-90,1990
6021,Andrea Haggard ,\/Andrea_Haggard_(Earth-616),Secret Identity,Bad,NA,NA,Female,NA,Living Characters,7,Sep-91,1991
22333,Fool ,\/Fool_(Earth-616),Secret Identity,Bad,White Eyes,No Hair,Male,NA,Deceased Characters,7,Jul-91,1991
32703,Guillaume Courage ,\/Guillaume_Courage_(Earth-616),Secret Identity,Bad,Red Eyes,Black Hair,Male,NA,Living Characters,7,Sep-91,1991
76420,Hector Fuentes ,\/Hector_Fuentes_(Earth-616),Public Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Dec-91,1991
9042,Kkallakku ,\/Kkallakku_(Earth-616),Secret Identity,Bad,NA,NA,Male,NA,Living Characters,7,Jul-91,1991
17015,Monkey Joe ,\/Monkey_Joe_(Earth-616),Public Identity,Good,Black Eyes,Brown Hair,Male,NA,Deceased Characters,7,Dec-91,1991
44265,Rambo (Dog) ,\/Rambo_(Dog)_(Earth-616),No Dual Identity,Good,NA,NA,Male,NA,Living Characters,7,Jun-91,1991
13102,Ray Morgan ,\/Ray_Morgan_(Earth-616),NA,Bad,NA,Brown Hair,Male,NA,Living Characters,7,Dec-91,1991
39764,Splice (Mercenary) ,\/Splice_(Mercenary)_(Earth-616),Secret Identity,Bad,Blue Eyes,Brown Hair,Male,NA,Living Characters,7,Dec-91,1991
21584,Thane Ector ,\/Thane_Ector_(Earth-616),Public Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,Jul-91,1991
18700,Vyrra ,\/Vyrra_(Earth-616),Public Identity,Bad,Blue Eyes,Grey Hair,Male,NA,Deceased Characters,7,Oct-91,1991
76418,Willis Hayworth ,\/Willis_Hayworth_(Earth-616),Public Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Dec-91,1991
523511,Anastasia Sablinova ,\/Anastasia_Sablinova_(Earth-616),No Dual Identity,Good,NA,Blond Hair,Female,NA,Living Characters,7,Jun-92,1992
64624,Angela Cairn ,\/Angela_Cairn_(Earth-616),Secret Identity,Good,White Eyes,Blond Hair,Female,NA,Living Characters,7,Jul-92,1992
287050,Anthony Stark (Doppelganger) ,\/Anthony_Stark_(Doppelganger)_(Earth-616),Secret Identity,Bad,Red Eyes,No Hair,Male,NA,Living Characters,7,Jun-92,1992
2370,Clement Wilson ,\/Clement_Wilson_(Earth-616),Public Identity,Neutral,Blue Eyes,Pink Hair,Male,NA,Living Characters,7,Feb-92,1992
282847,Guide ,\/Guide_(Earth-616),Secret Identity,Good,NA,NA,Male,NA,Living Characters,7,Aug-92,1992
15656,James Burley ,\/James_Burley_(Earth-616),Secret Identity,Neutral,NA,Black Hair,Male,NA,Living Characters,7,Sep-92,1992
246364,"James Lucas, Jr. ","\/James_Lucas,_Jr._(Earth-616)",Secret Identity,Bad,Brown Eyes,Bald,Male,NA,Deceased Characters,7,Jun-92,1992
524602,Jonathan Lee ,\/Jonathan_Lee_(Earth-616),Public Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Jul-92,1992
16291,Julien Boudreaux ,\/Julien_Boudreaux_(Earth-616),Secret Identity,Bad,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,7,Jun-92,1992
18833,Jutta ,\/Jutta_(Earth-616),NA,Bad,NA,NA,Female,NA,Living Characters,7,Apr-92,1992
106249,Leon McKenzie ,\/Leon_McKenzie_(Earth-616),Secret Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Jun-92,1992
16870,Prodigal ,\/Prodigal_(Earth-616),Secret Identity,Neutral,NA,NA,Male,NA,Living Characters,7,Aug-92,1992
2350,Rachel Argosy ,\/Rachel_Argosy_(Earth-616),Public Identity,Neutral,Blue Eyes,Blue Hair,Female,NA,Living Characters,7,Jun-92,1992
26433,S.H.I.V.A. ,\/S.H.I.V.A._(Earth-616),NA,NA,Red Eyes,No Hair,NA,NA,Living Characters,7,Jan-92,1992
250705,Salvatore Carbone ,\/Salvatore_Carbone_(Earth-616),NA,Bad,NA,Black Hair,Male,NA,Living Characters,7,Mar-92,1992
4206,Albert Louis ,\/Albert_Louis_(Earth-616),Secret Identity,Good,NA,Brown Hair,Male,NA,Living Characters,7,Mar-93,1993
78700,Battletide ,\/Battletide_(Earth-616),Secret Identity,Bad,Red Eyes,No Hair,NA,NA,Living Characters,7,Jan-93,1993
16941,Bernard Hoyster ,\/Bernard_Hoyster_(Earth-616),Secret Identity,Neutral,Blue Eyes,Black Hair,Male,NA,Deceased Characters,7,May-93,1993
20234,Embyrre ,\/Embyrre_(Earth-616),NA,Good,Black Eyes,Bald,Female,NA,Living Characters,7,Dec-93,1993
26785,Fabrikant ,\/Fabrikant_(Earth-616),Secret Identity,NA,NA,NA,Male,NA,Living Characters,7,Dec-93,1993
120761,Kona Lor ,\/Kona_Lor_(Earth-616),Public Identity,Bad,NA,Red Hair,Female,NA,Living Characters,7,Jul-93,1993
486619,Luther Manning ,\/Luther_Manning_(Earth-616),NA,Good,NA,NA,Male,NA,Deceased Characters,7,Nov-93,1993
334689,Outcast (Lilin) ,\/Outcast_(Lilin)_(Earth-616),Secret Identity,Bad,White Eyes,Brown Hair,Male,NA,Living Characters,7,Sep-93,1993
254985,Sarah Wilde ,\/Sarah_Wilde_(Earth-616),NA,Good,NA,NA,Female,NA,Living Characters,7,Apr-93,1993
36275,Suma-Ket ,\/Suma-Ket_(Earth-616),NA,Bad,NA,Grey Hair,Male,NA,Living Characters,7,Mar-93,1993
16108,Tamika Bowden ,\/Tamika_Bowden_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,7,Jun-93,1993
30516,Tithe Collector ,\/Tithe_Collector_(Earth-616),NA,Bad,NA,NA,Male,NA,Living Characters,7,Dec-93,1993
22060,Bartholomew Gallows ,\/Bartholomew_Gallows_(Earth-616),Secret Identity,Neutral,Green Eyes,Red Hair,Male,NA,Living Characters,7,Jun-94,1994
9821,Billy Kitson ,\/Billy_Kitson_(Earth-616),Secret Identity,Bad,Brown Eyes,Black Hair,Male,NA,Living Characters,7,Oct-94,1994
425893,Bitmap ,\/Bitmap_(Earth-616),Secret Identity,Bad,NA,No Hair,Male,NA,Living Characters,7,Mar-94,1994
748148,Infomorph ,\/Infomorph_(Earth-616),Secret Identity,Bad,NA,NA,Female,NA,Living Characters,7,Mar-94,1994
19594,John Carik ,\/John_Carik_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,7,Jul-94,1994
390333,John Sharpe ,\/John_Sharpe_(Earth-616),Secret Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,Dec-94,1994
171645,Rebecca Taylor ,\/Rebecca_Taylor_(Earth-616),Public Identity,Good,NA,Red Hair,Female,NA,Deceased Characters,7,Apr-94,1994
748147,Steel Collar ,\/Steel_Collar_(Earth-616),Secret Identity,Bad,NA,No Hair,Male,NA,Living Characters,7,Mar-94,1994
489501,Wirehead ,\/Wirehead_(Earth-616),Secret Identity,Bad,NA,NA,Male,NA,Living Characters,7,Mar-94,1994
16456,Gris Gris ,\/Gris_Gris_(Earth-616),Secret Identity,Neutral,Brown Eyes,Black Hair,Male,NA,Living Characters,7,Jan-95,1995
177137,Malachi (Space Phantom) ,\/Malachi_(Space_Phantom)_(Earth-616),Secret Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,Nov-95,1995
313430,Marcus Fifolet ,\/Marcus_Fifolet_(Earth-616),Secret Identity,Neutral,Black Eyes,Brown Hair,Male,NA,Living Characters,7,Jan-95,1995
393797,Margoyle ,\/Margoyle_(Earth-616),Public Identity,NA,White Eyes,Purple Hair,Female,NA,Living Characters,7,Mar-95,1995
20146,Moonraker ,\/Moonraker_(Earth-616),Secret Identity,NA,White Eyes,Black Hair,Male,NA,Living Characters,7,Oct-95,1995
105336,Rolfe ,\/Rolfe_(Earth-616),NA,NA,NA,Brown Hair,Male,NA,Living Characters,7,Sep-95,1995
393795,Rootar ,\/Rootar_(Earth-616),Public Identity,NA,NA,No Hair,Male,NA,Living Characters,7,Mar-95,1995
67176,Andros ,\/Andros_(Earth-616),Secret Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,May-96,1996
26777,Bramer ,\/Bramer_(Earth-616),Secret Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,May-96,1996
401845,Choocho Colon ,\/Choocho_Colon_(Earth-616),Public Identity,Bad,Brown Eyes,Brown Hair,Male,NA,Living Characters,7,Feb-96,1996
347128,Ebony (Heroes Reborn) ,\/Ebony_(Heroes_Reborn)_(Earth-616),Public Identity,Good,NA,NA,Male,NA,Living Characters,7,Nov-96,1996
659079,James Johnsmeyer ,\/James_Johnsmeyer_(Earth-616),Public Identity,NA,Brown Eyes,Blond Hair,Male,NA,Living Characters,7,Feb-96,1996
113446,Jasper Sitwell (Heroes Reborn) ,\/Jasper_Sitwell_(Heroes_Reborn)_(Earth-616),NA,NA,NA,NA,Male,NA,Deceased Characters,7,Nov-96,1996
30411,Kymberly Taylor ,\/Kymberly_Taylor_(Earth-616),NA,Good,NA,Red Hair,Female,NA,Living Characters,7,Oct-96,1996
67175,Lasher (Cell-12) ,\/Lasher_(Cell-12)_(Earth-616),Secret Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,May-96,1996
26802,Nardi ,\/Nardi_(Earth-616),Secret Identity,Bad,NA,NA,Male,NA,Living Characters,7,May-96,1996
402133,Skritch ,\/Skritch_(Earth-616),NA,Bad,NA,NA,Female,NA,Living Characters,7,Sep-96,1996
95414,Tar ,\/Tar_(Earth-616),Secret Identity,NA,NA,NA,Male,NA,Deceased Characters,7,Feb-96,1996
347155,Andrea Janson ,\/Andrea_Janson_(Earth-616),NA,Bad,Brown Eyes,NA,Female,NA,Deceased Characters,7,Feb-97,1997
16487,Boris Lubov ,\/Boris_Lubov_(Earth-616),Secret Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Sep-97,1997
642325,Dorian (Punk Kid) ,\/Dorian_(Punk_Kid)_(Earth-616),Public Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,Dec-97,1997
555190,Feuer ,\/Feuer_(Earth-616),Public Identity,Good,Brown Eyes,Bald,Male,NA,Living Characters,7,Jul-97,1997
91772,Heinrich Zemo (Heroes Reborn) ,\/Heinrich_Zemo_(Heroes_Reborn)_(Earth-616),Public Identity,Bad,NA,NA,Male,NA,Deceased Characters,7,Apr-97,1997
62567,Ivan Pushkin ,\/Ivan_Pushkin_(Earth-616),Secret Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Sep-97,1997
79612,Ko Bin Su ,\/Ko_Bin_Su_(Earth-616),NA,NA,Brown Eyes,Black Hair,Male,NA,Living Characters,7,Sep-97,1997
79514,Niral Chandra ,\/Niral_Chandra_(Earth-616),Secret Identity,Neutral,NA,Black Hair,Female,NA,Living Characters,7,Aug-97,1997
39479,Tracey Authier ,\/Tracey_Authier_(Earth-616),Public Identity,NA,NA,Brown Hair,Female,NA,Living Characters,7,Dec-97,1997
642324,Weasel (Punk Kid) ,\/Weasel_(Punk_Kid)_(Earth-616),Public Identity,Bad,NA,Blond Hair,Male,NA,Living Characters,7,Dec-97,1997
19648,Baby Karen ,\/Baby_Karen_(Earth-616),NA,NA,NA,NA,Female,NA,Living Characters,7,Nov-98,1998
558093,Dinu ,\/Dinu_(Earth-616),Public Identity,Neutral,Brown Eyes,Bald,Male,NA,Living Characters,7,Dec-98,1998
93242,Hames ,\/Hames_(Earth-616),NA,NA,NA,NA,Male,NA,Living Characters,7,Sep-98,1998
209432,Mac Garrity ,\/Mac_Garrity_(Earth-616),Secret Identity,Bad,Yellow Eyes,Black Hair,Male,NA,Deceased Characters,7,Dec-98,1998
419940,Miles Warton ,\/Miles_Warton_(Earth-616),NA,NA,NA,NA,Male,NA,Living Characters,7,Jun-98,1998
62533,Mister Gentry ,\/Mister_Gentry_(Earth-616),Public Identity,Good,NA,Black Hair,Male,NA,Living Characters,7,Sep-98,1998
12419,Olivier ,\/Olivier_(Earth-616),Secret Identity,Bad,Yellow Eyes,Black Hair,Male,NA,Deceased Characters,7,Nov-98,1998
9764,Richard Dennison ,\/Richard_Dennison_(Earth-616),Secret Identity,Bad,Orange Eyes,No Hair,Male,NA,Living Characters,7,May-98,1998
4002,Bridget Malone ,\/Bridget_Malone_(Earth-616),Secret Identity,Bad,Blue Eyes,Blond Hair,Female,NA,Living Characters,7,Nov-99,1999
1929,Christopher Aaronson ,\/Christopher_Aaronson_(Earth-616),Secret Identity,Bad,Brown Eyes,Bald,Male,NA,Living Characters,7,Feb-99,1999
699598,Elejea ,\/Elejea_(Earth-616),Secret Identity,Good,Yellow Eyes,Black Hair,Female,NA,Living Characters,7,Mar-99,1999
18154,Mikado ,\/Mikado_(Earth-616),Secret Identity,Good,NA,Black Hair,Female,NA,Living Characters,7,Dec-99,1999
18152,Mosha ,\/Mosha_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,7,Dec-99,1999
269144,Tarakis ,\/Tarakis_(Earth-616),NA,Bad,Brown Eyes,Black Hair,Male,NA,Living Characters,7,Sep-99,1999
16506,Zoe Ishihara ,\/Zoe_Ishihara_(Earth-616),Secret Identity,Neutral,Black Eyes,Black Hair,Female,NA,Living Characters,7,May-99,1999
453219,Balin ,\/Balin_(Earth-616),Public Identity,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,7,Oct-00,2000
1458,Domina ,\/Domina_(Earth-616),Secret Identity,Bad,Silver Eyes,Purple Hair,Female,NA,Deceased Characters,7,Apr-00,2000
19413,Junzo Muto ,\/Junzo_Muto_(Earth-616),Public Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Feb-00,2000
344368,Mr. Payback ,\/Mr._Payback_(Earth-616),Secret Identity,Good,Blue Eyes,NA,Male,NA,Deceased Characters,7,Aug-00,2000
251069,Order (Heroes Reborn) ,\/Order_(Heroes_Reborn)_(Earth-616),NA,Good,NA,NA,Female,NA,Living Characters,7,Jan-00,2000
12449,Rax ,\/Rax_(Earth-616),Secret Identity,Neutral,NA,Blond Hair,Male,NA,Deceased Characters,7,May-00,2000
454399,Rhanla ,\/Rhanla_(Earth-616),Public Identity,Good,NA,Pink Hair,Female,NA,Living Characters,7,Oct-00,2000
5311,Sam Matonabbe ,\/Sam_Matonabbe_(Earth-616),Secret Identity,Good,NA,Black Hair,Male,NA,Deceased Characters,7,Nov-00,2000
454403,Val ,\/Val_(Earth-616),Public Identity,Good,Blue Eyes,Brown Hair,Male,NA,Living Characters,7,Oct-00,2000
1339,Coach ,\/Coach_(Earth-616),Secret Identity,Bad,Red Eyes,White Hair,Male,NA,Deceased Characters,7,Jul-01,2001
16433,Fagin ,\/Fagin_(Earth-616),Secret Identity,Neutral,NA,Brown Hair,Male,NA,Deceased Characters,7,Jul-01,2001
18806,Kyle Jacoby ,\/Kyle_Jacoby_(Earth-616),NA,Good,Brown Eyes,NA,Male,NA,Living Characters,7,Jun-01,2001
2625,Leyu Yoshida ,\/Leyu_Yoshida_(Earth-616),Public Identity,Good,Brown Eyes,Black Hair,Female,NA,Deceased Characters,7,May-01,2001
78001,Maria Cortez ,\/Maria_Cortez_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,7,Jul-01,2001
16783,Marshal ,\/Marshal_(Earth-616),Secret Identity,Bad,NA,Black Hair,Male,NA,Deceased Characters,7,Aug-01,2001
4879,Nightingale ,\/Nightingale_(Earth-616),Secret Identity,Good,Yellow Eyes,Bald,Female,NA,Deceased Characters,7,Jan-01,2001
167472,Raptra ,\/Raptra_(Earth-616),Secret Identity,NA,Yellow Eyes,No Hair,Female,NA,Living Characters,7,Dec-01,2001
586800,Alice Tremaine ,\/Alice_Tremaine_(Earth-616),No Dual Identity,Bad,Black Eyes,Black Hair,Female,NA,Living Characters,7,Dec-02,2002
16768,Mary Zero (Mary) ,\/Mary_Zero_(Mary)_(Earth-616),Secret Identity,NA,Brown Eyes,Black Hair,Female,NA,Living Characters,7,Nov-02,2002
18835,Michael Hart ,\/Michael_Hart_(Earth-616),Secret Identity,Neutral,Black Eyes,Bald,Male,NA,Living Characters,7,Jun-02,2002
22970,Moving Shadow ,\/Moving_Shadow_(Earth-616),NA,Bad,NA,NA,Male,NA,Living Characters,7,Nov-02,2002
280865,Brian Rinehart ,\/Brian_Rinehart_(Earth-616),Secret Identity,Good,Brown Eyes,Blond Hair,Male,NA,Deceased Characters,7,Dec-03,2003
121255,Christian Frost ,\/Christian_Frost_(Earth-616),Secret Identity,Neutral,Blue Eyes,Blond Hair,Male,Homosexual Characters,Living Characters,7,Jun-03,2003
27856,Harald Jaekelsson ,\/Harald_Jaekelsson_(Earth-616),Public Identity,Bad,Brown Eyes,Black Hair,Male,NA,Living Characters,7,Sep-03,2003
16542,Kiwi Black ,\/Kiwi_Black_(Earth-616),Secret Identity,Neutral,Red Eyes,Black Hair,Male,NA,Living Characters,7,Oct-03,2003
16613,Maximus Lobo ,\/Maximus_Lobo_(Earth-616),Secret Identity,Bad,Blue Eyes,Grey Hair,Male,NA,Living Characters,7,Mar-03,2003
57226,Nick Nixon ,\/Nick_Nixon_(Earth-616),Public Identity,NA,Brown Eyes,Brown Hair,Male,NA,Living Characters,7,Nov-03,2003
21697,Alexander Bont ,\/Alexander_Bont_(Earth-616),Secret Identity,Bad,Black Eyes,Grey Hair,Male,NA,Living Characters,7,Dec-04,2004
16360,Clay ,\/Clay_(Earth-616),Secret Identity,Bad,White Eyes,White Hair,Male,NA,Deceased Characters,7,Dec-04,2004
565606,Cole (Omega Core) ,\/Cole_(Omega_Core)_(Earth-616),Public Identity,Good,NA,Brown Hair,Male,NA,Living Characters,7,May-04,2004
693429,James Westbrook ,\/James_Westbrook_(Earth-616),NA,Neutral,NA,Grey Hair,Male,NA,Living Characters,7,Jul-04,2004
750308,Jennifer Leigh ,\/Jennifer_Leigh_(Earth-616),No Dual Identity,Neutral,Blue Eyes,Blond Hair,Female,NA,Living Characters,7,Mar-04,2004
750307,Martin Leigh ,\/Martin_Leigh_(Earth-616),No Dual Identity,Neutral,Blue Eyes,Blond Hair,Male,NA,Living Characters,7,Mar-04,2004
67339,Nestor Rodriguez ,\/Nestor_Rodriguez_(Earth-616),Secret Identity,NA,NA,Black Hair,Male,NA,Living Characters,7,Jun-04,2004
8185,Purge (Genoshan) ,\/Purge_(Genoshan)_(Earth-616),NA,Good,NA,Blond Hair,Male,NA,Living Characters,7,Sep-04,2004
92840,Trolls ,\/Trolls_(Earth-616),NA,Bad,NA,NA,NA,NA,Living Characters,7,Nov-04,2004
99799,Whiz Kid ,\/Whiz_Kid_(Earth-616),Public Identity,Good,Brown Eyes,Black Hair,Female,NA,Deceased Characters,7,Aug-04,2004
340444,Azzuri ,\/Azzuri_(Earth-616),NA,Good,NA,Black Hair,Male,NA,Living Characters,7,Apr-05,2005
10189,Blindspot ,\/Blindspot_(Earth-616),Secret Identity,Bad,Blue Eyes,Black Hair,Female,NA,Living Characters,7,Mar-05,2005
43754,Cornelius Worth ,\/Cornelius_Worth_(Earth-616),Public Identity,Neutral,Brown Eyes,Grey Hair,Male,NA,Living Characters,7,Nov-05,2005
452772,Deborah Kinney ,\/Deborah_Kinney_(Earth-616),Secret Identity,Neutral,Green Eyes,Black Hair,Female,NA,Living Characters,7,Mar-05,2005
9513,Gwen (Daydream) ,\/Gwen_(Daydream)_(Earth-616),NA,NA,Green Eyes,Green Hair,Female,NA,Living Characters,7,Mar-05,2005
349493,Jeff Kaplan ,\/Jeff_Kaplan_(Earth-616),Public Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,7,Oct-05,2005
24554,Mallen ,\/Mallen_(Earth-616),Secret Identity,Bad,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,7,Jan-05,2005
244808,Mana Yanowa ,\/Mana_Yanowa_(Earth-616),No Dual Identity,NA,Brown Eyes,Black Hair,Female,NA,Living Characters,7,May-05,2005
20752,Nemesio Pietri ,\/Nemesio_Pietri_(Earth-616),Public Identity,Neutral,NA,Black Hair,Male,NA,Deceased Characters,7,Jan-05,2005
21500,Paul Patterson ,\/Paul_Patterson_(Earth-616),NA,Bad,NA,NA,Male,NA,Living Characters,7,Jan-05,2005
349495,Peggy Rae ,\/Peggy_Rae_(Earth-616),Public Identity,Neutral,NA,Blond Hair,Female,NA,Living Characters,7,Oct-05,2005
209717,Ricky Calusky ,\/Ricky_Calusky_(Earth-616),Secret Identity,Bad,Blue Eyes,Blond Hair,Male,NA,Living Characters,7,Apr-05,2005
285855,Ruth (Angel) ,\/Ruth_(Angel)_(Earth-616),Secret Identity,Bad,NA,Black Hair,Female,NA,Living Characters,7,Nov-05,2005
37375,Stem Cell ,\/Stem_Cell_(Earth-616),Secret Identity,Good,Red Eyes,Blond Hair,Female,NA,Living Characters,7,Apr-05,2005
23587,Colony ,\/Colony_(Earth-616),Secret Identity,Bad,NA,NA,NA,NA,Living Characters,7,Feb-06,2006
23582,Devo ,\/Devo_(Earth-616),Secret Identity,Bad,NA,Bald,Male,NA,Living Characters,7,Feb-06,2006
15581,Monstro ,\/Monstro_(Earth-616),NA,NA,Brown Eyes,Grey Hair,Male,NA,Living Characters,7,Jan-06,2006
95511,Otis Johnson II ,\/Otis_Johnson_II_(Earth-616),Public Identity,Good,NA,NA,Male,NA,Living Characters,7,Apr-06,2006
23590,Sega ,\/Sega_(Earth-616),Secret Identity,Bad,NA,NA,Male,NA,Living Characters,7,Feb-06,2006
188556,Theodore Scott ,\/Theodore_Scott_(Earth-616),NA,Bad,NA,NA,Male,NA,Living Characters,7,Sep-06,2006
19297,Zhib-Ran ,\/Zhib-Ran_(Earth-616),NA,NA,Blue Eyes,Red Hair,Male,NA,Living Characters,7,Feb-06,2006
89791,Abigail Dunton ,\/Abigail_Dunton_(Earth-616),Secret Identity,Good,NA,Black Hair,Female,NA,Living Characters,7,Jun-07,2007
676907,Brett Mahoney ,\/Brett_Mahoney_(Earth-616),Public Identity,Good,Brown Eyes,Bald,Male,NA,Living Characters,7,Nov-07,2007
476377,Brian van Patrick ,\/Brian_van_Patrick_(Earth-616),Public Identity,NA,NA,NA,Male,NA,Living Characters,7,Jun-07,2007
120941,Ladyfair ,\/Ladyfair_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Female,NA,Deceased Characters,7,Feb-07,2007
249731,Michael van Patrick (Van) ,\/Michael_van_Patrick_(Van)_(Earth-616),Secret Identity,Good,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,7,Aug-07,2007
482189,Oliver Orwell ,\/Oliver_Orwell_(Earth-616),Secret Identity,Good,NA,NA,Male,NA,Living Characters,7,Jan-07,2007
289306,Richard Palance ,\/Richard_Palance_(Earth-616),Secret Identity,Bad,Blue Eyes,Black Hair,Male,NA,Living Characters,7,Feb-07,2007
437932,Deacon ,\/Deacon_(Earth-616),Public Identity,Bad,NA,Brown Hair,Male,NA,Living Characters,7,Aug-08,2008
127694,Geldoff ,\/Geldoff_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,7,Feb-08,2008
121723,Gordon Wright ,\/Gordon_Wright_(Earth-616),Public Identity,Bad,NA,Grey Hair,Male,NA,Living Characters,7,Apr-08,2008
168045,John Hashimoto ,\/John_Hashimoto_(Earth-616),Secret Identity,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,7,Oct-08,2008
245733,Leon Nunez ,\/Leon_Nunez_(Earth-616),Secret Identity,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,7,Jun-08,2008
196530,Melee ,\/Melee_(Earth-616),Secret Identity,Good,NA,Brown Hair,Female,NA,Living Characters,7,Feb-08,2008
170776,Michael van Patrick (Clone) ,\/Michael_van_Patrick_(Clone)_(Earth-616),Secret Identity,Good,Blue Eyes,Brown Hair,Male,NA,Living Characters,7,May-08,2008
128386,Quentin Palone ,\/Quentin_Palone_(Earth-616),Public Identity,NA,NA,Black Hair,Male,NA,Living Characters,7,Mar-08,2008
239815,Val Rhymin ,\/Val_Rhymin_(Earth-616),Public Identity,Bad,NA,Black Hair,Male,NA,Living Characters,7,Oct-08,2008
579619,Amanda Reilly ,\/Amanda_Reilly_(Earth-616),No Dual Identity,Good,NA,Blond Hair,Female,NA,Living Characters,7,Sep-09,2009
579621,Amy Reilly ,\/Amy_Reilly_(Earth-616),No Dual Identity,Good,NA,Black Hair,Female,NA,Living Characters,7,Sep-09,2009
666169,Aneka ,\/Aneka_(Earth-616),Secret Identity,Good,NA,Bald,Female,NA,Living Characters,7,Nov-09,2009
273355,Anton Satan ,\/Anton_Satan_(Earth-616),Secret Identity,Bad,Black Eyes,Black Hair,Male,NA,Living Characters,7,Oct-09,2009
280570,Burst ,\/Burst_(Earth-616),Secret Identity,Bad,Brown Eyes,Black Hair,Male,NA,Living Characters,7,Nov-09,2009
262132,Damon Ryder ,\/Damon_Ryder_(Earth-616),Secret Identity,Bad,Brown Eyes,Red Hair,Male,NA,Deceased Characters,7,Sep-09,2009
208699,Lindy Nolan ,\/Lindy_Nolan_(Earth-616),NA,Good,NA,Blond Hair,Female,NA,Living Characters,7,Apr-09,2009
242725,Razor (Raptor) ,\/Razor_(Raptor)_(Earth-616),Secret Identity,Bad,Red Eyes,NA,NA,NA,Living Characters,7,Jun-09,2009
208694,Tre Owens ,\/Tre_Owens_(Earth-616),Secret Identity,Good,Brown Eyes,Bald,Male,NA,Living Characters,7,Apr-09,2009
277696,Zakar ,\/Zakar_(Earth-616),Public Identity,Good,NA,Black Hair,Male,NA,Living Characters,7,Nov-09,2009
350434,Aloysius Thorndrake ,\/Aloysius_Thorndrake_(Earth-616),Secret Identity,Bad,NA,Grey Hair,Male,NA,Living Characters,7,Sep-10,2010
418433,Brianna Robbins ,\/Brianna_Robbins_(Earth-616),Public Identity,Neutral,Brown Eyes,Brown Hair,Female,NA,Living Characters,7,Jun-10,2010
392433,Cannon Foot ,\/Cannon_Foot_(Earth-616),Secret Identity,Bad,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,7,Nov-10,2010
497267,Dara Ko Eke ,\/Dara_Ko_Eke_(Earth-616),Secret Identity,Good,Green Eyes,Brown Hair,Female,NA,Living Characters,7,Jun-10,2010
341462,Ellis Love ,\/Ellis_Love_(Earth-616),Secret Identity,Good,NA,Black Hair,Female,NA,Living Characters,7,Aug-10,2010
497261,Els Udonta ,\/Els_Udonta_(Earth-616),Secret Identity,Good,Blue Eyes,No Hair,Female,NA,Living Characters,7,Jun-10,2010
